Bulan,Pelajar Laki laki,Pelajar Perempuan,Mahasiswa Laki laki,Mahasiswa Perempuan,Karyawan/PNS Laki laki,Karyawan/PNS Perempuan,Umum Laki laki,Umum Perempuan,Tahun
Januari, 27 , 100 , 4 , 5 , 6 , 5 , 5 , 5 ,2018
Februari, 32 , 99 , - , 5 , 1 , 9 , 4 , 5 ,2018
Maret, 20 , 42 , 3 , 4 , 4 , 5 , 2 , - ,2018
April, 58 , 123 , 2 , 2 , 4 , 12 , 4 , 8 ,2018
Mei, 5 , 34 , 3 , 3 , 4 , 2 , 2 , 5 ,2018
Juni, 4 , 8 , 3 , 1 , 7 , 7 , - , 2 ,2018
Juli, 10 , 42 , 1 , 2 , 6 , 5 , - , 6 ,2018
Agustus, 6 , 48 , 3 , 2 , 2 , 4 , - , 3 ,2018
September, 29 , 103 , 3 , 9 , 8 , 18 , 4 , 13 ,2018
Oktober, 87 , 554 , 38 , 56 , 36 , 39 , 58 , 86 ,2018
November, 11 , 59 , 5 , 7 , 3 , 5 , 6 , 5 ,2018
Desember, 18 , 58 , 3 , 10 , 5 , 8 , 14 , 10 ,2018
Januari, 29 , 60 , 7 , 10 , 6 , 12 , 3 , 3 ,2019
Februari, 20 , 91 , 1 , 4 , 5 , 10 , 8 , 10 ,2019
Maret, 28 , 94 , - , 7 , 3 , 9 , 5 , 9 ,2019
April, 17 , 52 , - , 4 , 2 , 7 , 5 , 5 ,2019
Mei, 15 , 48 , 2 , 4 , 2 , 7 , 5 , 5 ,2019
Juni, 17 , 32 , 6 , 7 , 5 , 7 , - , 6 ,2019
Juli, 22 , 42 , 4 , 5 , 6 , 6 , 6 , 7 ,2019
Agustus, 13 , 56 , 1 , 1 , 11 , 4 , 1 , 3 ,2019
September, 199 , 387 , 4 , 12 , 69 , 41 , 7 , 17 ,2019
Oktober, 22 , 72 , 23 , 22 , 5 , 7 , 8 , 9 ,2019
November, 26 , 62 , 3 , 6 , 6 , 5 , 6 , 13 ,2019
Desember, 20 , 55 , - , 8 , 4 , 5 , 4 , 9 ,2019
Januari, 16 , 60 , 2 , 9 , 3 , 4 , 6 , 5 ,2020
Februari, 15 , 75 , 9 , 10 , 2 , 4 , 2 , 25 ,2020
Maret, 13 , 51 , 2 , 1 , 9 , 1 , 7 , 15 ,2020
April, - , - , - , - , - , - , - , - ,2020
Mei, - , - , - , - , - , - , - , - ,2020
Juni, 4 , 17 , 2 , 8 , 2 , 4 , 2 , 1 ,2020
Juli, 4 , 9 , - , 2 , 3 , 6 , 1 , 3 ,2020
Agustus, 4 , 9 , - , 2 , 3 , 6 , 1 , 3 ,2020
September, 8 , 2 , 1 , 11 , - , 2 , 2 , 2 ,2020
Oktober, 16 , 64 , 8 , 12 , 5 , 2 , 1 , 5 ,2020
November, 3 , 16 , 3 , 14 , 2 , 5 , 1 , 1 ,2020
Desember, 1 , 7 , 1 , 5 , 1 , 3 , - , 1 ,2020
Januari, 1 , 8 , 2 , 8 , 2 , 3 , 1 , 2 ,2021
Februari, 5 , 11 , 4 , 13 , 4 , 6 , 1 , 6 ,2021
Maret, 1 , 35 , 3 , 7 , 1 , 3 , - , 3 ,2021
April, 3 , 10 , 4 , 10 , 3 , 2 , 1 , 5 ,2021
Mei, 1 , 13 , 5 , 4 , 3 , 5 , 2 , 4 ,2021
Juni, 5 , 24 , 7 , 11 , 9 , 7 , 2 , 7 ,2021
Juli, 17 , 45 , 1 , 3 , 3 , 7 , 2 , 2 ,2021
Agustus, 11 , 30 , 5 , 10 , 6 , 7 , 2 , 2 ,2021
September, 42 , 85 , 2 , 19 , 5 , 9 , 5 , 8 ,2021
Oktober, 16 , 39 , 6 , 25 , 2 , 11 , 2 , 9 ,2021
November, 17 , 36 , 6 , 18 , 2 , - , 1 , 7 ,2021
Desember, 29 , 49 , 8 , 13 , 4 , 8 , 4 , 6 ,2021
Januari, 20 , 28 , 2 , 8 , 8 , 6 , 4 , 11 ,2022
Februari, 16 , 37 , 1 , 6 , 3 , 4 , 5 , 1 ,2022
Maret, 17 , 51 , 1 , 8 , 3 , 3 , 4 , 8 ,2022
April, 10 , 32 , - , - , 2 , 3 , 2 , 2 ,2022
Mei, 7 , 44 , - , 12 , 2 , 2 , 1 , 3 ,2022
Juni, 17 , 25 , 5 , 1 , 3 , 4 , 2 , 7 ,2022
Juli, 23 , 47 , 5 , 2 , 6 , 9 , 3 , 4 ,2022
Agustus, 132 , 198 , 2 , 4 , 8 , 4 , - , 3 ,2022
September, 250 , 427 , 4 , 4 , 16 , 14 , 2 , 15 ,2022
Oktober, 8 , 18 , - , 11 , 4 , 7 , 5 , 1 ,2022
November, 8 , 26 , 1 , 4 , 2 , 4 , 3 , 1 ,2022
Desember, 3 , 17 , 1 , 2 , 3 , 4 , 2 , 4 ,2022
Januari, 11 , 18 , 1 , 4 , 7 , 2 , 4 , - ,2023
Februari, 6 , 29 , 3 , 2 , 2 , 5 , 1 , 4 ,2023
Maret, 7 , 28 , 1 , 4 , 2 , 4 , 1 , 1 ,2023
April, 3 , 6 , 1 , 7 , 6 , 3 , 1 , 1 ,2023
Mei, 8 , 20 , 6 , 5 , 6 , 9 , 2 , 2 ,2023
Juni, 18 , 50 , 1 , 4 , 5 , 10 , 2 , 4 ,2023
Juli, 2 , 15 , 2 , 2 , 3 , 6 , - , - ,2023
Agustus, 9 , 22 , - , 4 , 1 , 4 , 3 , 1 ,2023
September, 18 , 62 , 2 , 4 , 1 , 7 , 2 , 3 ,2023
Oktober, 11 , 42 , 11 , 42 , 6 , 1 , - , 2 ,2023
November, 33 , 121 , - , 7 , 1 , 10 , 1 , 1 ,2023
Desember, 69 , 106 , - , 4 , 14 , 11 , 2 , 9 ,2023
Januari, 175 , 335 , 3 , 19 , 23 , 13 , 10 , 12 ,2024
Februari, 117 , 376 , 2 , 13 , 8 , 24 , 14 , 29 ,2024
Maret, 27 , 93 , 1 , 5 , 6 , 21 , 3 , 2 ,2024
April, 20 , 42 , 4 , 1 , 7 , 14 , - , 7 ,2024
Mei, 31 , 74 , 6 , 12 , 3 , 15 , 10 , 26 ,2024
Juni, 61 , 84 , 3 , 12 , 12 , 24 , 4 , 10 ,2024
Juli, 132 , 198 , 2 , 4 , 8 , 4 , - , 3 ,2024
Agustus, 75 , 142 , 4 , 19 , 7 , 13 , 8 , 19 ,2024
September, 11 , 42 , - , 9 , 6 , 1 , - , 2 ,2024
Oktober, 36 , 102 , 2 , 16 , 11 , 13 , 10 , 11 ,2024
November, 143 , 241 , 4 , 16 , 11 , 25 , - , 13 ,2024
Desember, 43 , 99 , 2 , 12 , 11 , 18 , 9 , 25 ,2024
